title,release_year,release_date,genres,runtime,overview,director,writers,main_actors,budget,revenue,keywords,production_company,popularity,adult
Django Unchained,2012,2012-12-25,"['Drama', 'Western']",165,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",Quentin Tarantino,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio",100000000,425368238,"rescue, friendship, bounty hunter, texas, slavery, plantation, rivalry, revenge, shootout, racism, kindness, dentist, django, slave trade, aftercreditsstinger, black slave, agreement, 19th century, chattanooga, german, cotton plantation, plantation owner, old west, western, 1850s, mississippi",The Weinstein Company,14.0926,False
Higher Ground,2011,2011-08-26,"['Drama', 'Thriller']",109,"Vera Farmiga's directorial debut, HIGHER GROUND, depicts the landscape of a tight-knit spiritual community thrown off-kilter when one of their own begins to question her faith. Inspired by screenwriter Carolyn S. Briggs' memoir This Dark World, the film tells the story of a thoughtful woman's struggles with belief, love, and trust - in human relationships as well as in God.",Vera Farmiga,"Carolyn S. Briggs, Tim Metcalfe","Vera Farmiga, Donna Murphy, Dagmara Dominczyk",2000000,841733,"baby, husband wife relationship, faith, evangelical christianity, woman director",,0.5698,False
The Twilight Saga: Breaking Dawn - Part 2,2012,2012-11-13,"['Adventure', 'Fantasy', 'Drama', 'Romance']",115,"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",Bill Condon,"Melissa Rosenberg, Bill Condon","Kristen Stewart, Robert Pattinson, Taylor Lautner",120000000,829747654,"based on novel or book, vampire, villainess, affectation, romance, teen movie, werewolf, supernatural creature, super strength, imprinting, cross breed, bloodsucker, grudge, chief of police, wolf pack, misinformation, seeing the future, based on young adult novel",Summit Entertainment,16.1493,False
The Hobbit: An Unexpected Journey,2012,2012-12-12,"['Adventure', 'Fantasy', 'Action']",169,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",Peter Jackson,"Guillermo del Toro, Peter Jackson, Philippa Boyens, Fran Walsh","Martin Freeman, Ian McKellen, Richard Armitage",250000000,1021103568,"based on novel or book, orcs, elves, dwarf, magic, horseback riding, sword, burglar, legend, riddle, mountain, contract, travel, troll, creature, thunderstorm, fantasy world, wizard, epic battle, lost ring, journey, ring, tunnel, underground lake, buried treasure, invisibility, quest, live action and animation, high fantasy, sword and sorcery, trekking, goblins, good versus evil, creatures, fantasy creature, amused, excited, hobbit",New Line Cinema,14.8895,False
Brave,2012,2012-06-21,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",93,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.","Mark Andrews, Brenda Chapman","Mark Andrews, Steve Purcell, Brenda Chapman, Irene Mecchi","Kelly Macdonald, Emma Thompson, Billy Connolly",185000000,539000000,"witch, kingdom, scotland, rebel, bravery, villain, wish, archer, bear, scot, rebellious daughter, turns into animal, archery, ruins, aftercreditsstinger, peace offering, woman director, insecure, quest, grim, irreverent, absurd, whimsical, derogatory, disdainful, disgusted, disheartening, disrespectful, frustrated, ridiculous",Walt Disney Pictures,12.813,False
The Dark Knight Rises,2012,2012-07-17,"['Action', 'Crime', 'Drama', 'Thriller']",165,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Christian Bale, Gary Oldman, Tom Hardy",250000000,1081041287,"airplane, fight, burglar, hostage, secret identity, crime fighter, superhero, villainess, time bomb, based on comic, cover-up, vigilante, tragic hero, mobile, terrorism, destruction, fighting, criminal underworld, cat burglar, flood",Syncopy,13.9538,False
Ice Age: Continental Drift,2012,2012-06-27,"['Animation', 'Comedy', 'Adventure', 'Family']",88,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.","Steve Martino, Mike Thurmeier","Michael Berg, Jason Fuchs","Ray Romano, John Leguizamo, Denis Leary",95000000,877244782,"villain, sequel, prehistory, seal (animal), aftercreditsstinger, duringcreditsstinger, melting ice, floating ice, land bridge, era, glaciale",Blue Sky Studios,12.4972,False
The Lorax,2012,2012-03-01,"['Animation', 'Family']",86,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",Chris Renaud,"Cinco Paul, Ken Daurio","Danny DeVito, Ed Helms, Zac Efron",70000000,349305397,"aftermath, tree, villain, musical, family business , money, tragic villain, consumerism, air, based on children's book, animal killing, walled city, reforestation, tree cutting, mad family, clothes factory, meme, social, abused child, illumination, singing animals, fish trio, biggering, unless, admiring, appreciative",Universal Pictures,11.9081,False
Jack Reacher,2012,2012-12-20,"['Crime', 'Drama', 'Thriller', 'Action']",130,"One morning in an ordinary town, five people are shot dead in a seemingly random attack. All evidence points to a single suspect: an ex-military sniper who is quickly brought into custody. The interrogation yields one written note: 'Get Jack Reacher!'. Reacher, an enigmatic ex-Army investigator, believes the authorities have the right man but agrees to help the sniper's defense attorney. However, the more Reacher delves into the case, the less clear-cut it appears. So begins an extraordinary chase for the truth, pitting Jack Reacher against an unexpected enemy, with a skill for violence and a secret to keep.",Christopher McQuarrie,Christopher McQuarrie,"Tom Cruise, Rosamund Pike, Richard Jenkins",60000000,218300000,"sniper, coma, based on novel or book, mass murder, detective, investigation, police chase, investigator, district attorney, defense attorney, military police, loner, framed for murder, ex military, off the grid, mass shooting, father daughter relationship, army veteran, physical evidence, intense, fist fight, gun range",Paramount Pictures,11.3805,False
Hotel Transylvania,2012,2012-09-20,"['Animation', 'Comedy', 'Family', 'Fantasy']",91,"Welcome to Hotel Transylvania, Dracula's lavish five-stake resort, where monsters and their families can live it up and no humans are allowed. One special weekend, Dracula has invited all his best friends to celebrate his beloved daughter Mavis's 118th birthday. For Dracula catering to all of these legendary monsters is no problem but the party really starts when one ordinary guy stumbles into the hotel and changes everything!",Genndy Tartakovsky,"Peter Baynham, Robert Smigel","Adam Sandler, Andy Samberg, Selena Gomez",85000000,358375603,"hotel, witch, vampire, romance, love, zombie, invisible person, duringcreditsstinger, nosferatu, protective father, magical creature, philosophical, father daughter relationship, joyful",Columbia Pictures,10.7201,False
Ted,2012,2012-06-29,"['Comedy', 'Fantasy']",107,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori.",Seth MacFarlane,"Seth MacFarlane, Alec Sulkin, Wellesley Wild","Mark Wahlberg, Mila Kunis, Seth MacFarlane",50000000,549368315,"friendship, dreams, love, buddy, teddy bear, toy comes to life, wishes come true",Universal Pictures,10.176,False
The Hunger Games,2012,2012-03-12,"['Science Fiction', 'Adventure', 'Fantasy']",142,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.",Gary Ross,"Gary Ross, Billy Ray, Suzanne Collins","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",75000000,694394724,"based on novel or book, revolution, dystopia, female protagonist, bow and arrow, game, archery, death match, survival competition, forced to kill, based on young adult novel",Lionsgate,12.6581,False
Wreck-It Ralph,2012,2012-11-01,"['Family', 'Animation', 'Comedy', 'Adventure']",101,"Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",Rich Moore,"Jennifer Lee, Phil Johnston","John C. Reilly, Sarah Silverman, Jack McBrayer",165000000,471222889,"video game, support group, villain, bullying, medal, product placement, jail, racing, arcade, self esteem, curiosity, precocious child, aftercreditsstinger, duringcreditsstinger, first person shooter, glitch, carefree, interrupted wedding, social reject, escape from jail, hoverboard",Walt Disney Animation Studios,11.5981,False
Madagascar 3: Europe's Most Wanted,2012,2012-06-06,"['Animation', 'Family', 'Comedy', 'Adventure']",93,"Animal pals Alex, Marty, Melman, and Gloria are still trying to make it back to New York's Central Park Zoo. They are forced to take a detour to Europe to find the penguins and chimps who broke the bank at a Monte Carlo casino. When French animal-control officer Capitaine Chantel DuBois picks up their scent, Alex and company are forced to hide out in a traveling circus.","Eric Darnell, Conrad Vernon, Tom McGrath","Noah Baumbach, Eric Darnell","Ben Stiller, Chris Rock, David Schwimmer",145000000,746921274,"friendship, circus, lion, zoo, hippopotamus, giraffe, penguin, cartoon, villain, zebra, slapstick comedy, madagascar, animals, lemur, talking animal",DreamWorks Animation,9.6236,False
Prometheus,2012,2012-05-30,"['Science Fiction', 'Adventure', 'Mystery']",124,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.",Ridley Scott,"Jon Spaihts, Damon Lindelof","Noomi Rapace, Michael Fassbender, Charlize Theron",130000000,403354469,"android, alien, space, creature, spin off, creation, emergency surgery, archaeological dig, stasis, god complex, cave drawing, prometheus, genetic mutation, origins of life, 2090s, objective",Dune Entertainment,9.586,False
