title,release_year,release_date,genres,runtime,overview,director,writers,main_actors,budget,revenue,keywords,production_company,popularity,adult
Inception,2010,2010-07-15,"['Action', 'Science Fiction', 'Adventure']",148,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",Christopher Nolan,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe",160000000,839030630,"rescue, mission, dreams, airplane, paris, france, virtual reality, kidnapping, philosophy, spy, allegory, manipulation, car crash, heist, memory, architecture, los angeles, california, dream world, subconscious, awestruck, complicated, powerful",Legendary Pictures,27.8694,False
Shutter Island,2010,2010-02-14,"['Drama', 'Thriller', 'Mystery']",138,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",Martin Scorsese,Laeta Kalogridis,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley",80000000,294804195,"island, based on novel or book, hurricane, investigation, u.s. marshal, conspiracy theory, psychiatric hospital, psychological thriller, whodunit, neo-noir, 1950s, complex, dreary, tense, baffled",Paramount Pictures,18.3389,False
How to Train Your Dragon,2010,2010-03-18,"['Fantasy', 'Adventure', 'Animation', 'Family']",98,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.","Chris Sanders, Dean DeBlois","Dean DeBlois, Chris Sanders, William Davies","Jay Baruchel, Gerard Butler, Craig Ferguson",165000000,494879471,"friendship, ship, blacksmith, island, based on novel or book, flying, arena, village, villain, training, ignorance, vikings (norsemen), forest, flight, nest, dragon, battle, combat, well, warrior, pets, inspirational, exhilarated",DreamWorks Animation,17.2598,False
Harry Potter and the Deathly Hallows: Part 1,2010,2010-11-17,"['Adventure', 'Fantasy']",146,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",David Yates,Steve Kloves,"Daniel Radcliffe, Emma Watson, Rupert Grint",250000000,954305868,"witch, friendship, london, england, corruption, escape, teleportation, isolation, magic, bravery, radio, road trip, shelter, tension, attack, werewolf, ghost, road movie, wizard, mysterious, christmas, based on young adult novel",Warner Bros. Pictures,20.5352,False
Tangled,2010,2010-11-24,"['Animation', 'Family', 'Adventure']",100,"Feisty teenager Rapunzel, who has long and magical hair, wants to go and see sky lanterns on her eighteenth birthday, but she's bound to a tower by her overprotective mother. She strikes a deal with Flynn Rider, a charming wanted thief, and the duo set off on an action-packed escapade.","Byron Howard, Nathan Greno",Dan Fogelman,"Mandy Moore, Zachary Levi, Donna Murphy",260000000,592461732,"princess, magic, hostage, fairy tale, horse, villain, musical, blonde, tower, selfishness, healing power, female villain, adventurer, based on fairy tale, duringcreditsstinger, healing gift, animal sidekick, magic land",Walt Disney Animation Studios,21.484,False
Iron Man 2,2010,2010-04-28,"['Adventure', 'Action', 'Science Fiction']",124,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",Jon Favreau,Justin Theroux,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle",200000000,623933331,"technology, superhero, malibu, based on comic, revenge, aftercreditsstinger, marvel cinematic universe (mcu), break out",Marvel Studios,17.4012,False
The Karate Kid,2010,2010-06-10,"['Action', 'Adventure', 'Drama', 'Family']",140,"Twelve-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",Harald Zwart,Christopher Murphey,"Jaden Smith, Jackie Chan, Taraji P. Henson",40000000,359126022,"martial arts, duringcreditsstinger, karate kid, the karate kid, intense, pretentious, straightforward, tragic",Jerry Weintraub Productions,21.2583,False
TRON: Legacy,2010,2010-12-14,"['Adventure', 'Action', 'Science Fiction']",125,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",Joseph Kosinski,"Adam Horowitz, Edward Kitsis, Brian Klugman, Lee Sternthal","Jeff Bridges, Garrett Hedlund, Olivia Wilde",170000000,400062763,"artificial intelligence (a.i.), computer program, secret identity, dystopia, simulation, super computer, utopia, deception, computer simulation, sequel, computer game, 80s style, autocracy, light cycle",Walt Disney Pictures,24.2675,False
Shrek Forever After,2010,2010-05-20,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",93,"A bored and domesticated Shrek pacts with deal-maker Rumpelstiltskin to get back to feeling like a real ogre again, but when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met—he sets out to restore his world and reclaim his true love.",Mike Mitchell,"Josh Klausner, Darren Lemke","Mike Myers, Eddie Murphy, Cameron Diaz",165000000,752600867,"witch, sequel, ogre",DreamWorks Animation,15.3037,False
Grown Ups,2010,2010-06-24,['Comedy'],102,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",Dennis Dugan,"Adam Sandler, Fred Wolf","Adam Sandler, Kevin James, Chris Rock",80000000,271430189,"friendship, overweight, convertible, swing, foot, friends, arrow, buddy comedy, buddies, hilarious",Columbia Pictures,15.7576,False
The Social Network,2010,2010-10-01,['Drama'],121,"In 2003, Harvard undergrad and computer programmer Mark Zuckerberg begins work on a new concept that eventually turns into the global social network known as Facebook. Six years later, Mark is one of the youngest billionaires ever, but his unprecedented success leads to both personal and legal complications when he ends up on the receiving end of two lawsuits, one involving his former friend.",David Fincher,Aaron Sorkin,"Jesse Eisenberg, Andrew Garfield, Armie Hammer",40000000,224920315,"hacker, based on novel or book, boston, massachusetts, ex-girlfriend, harvard university, narcissism, based on true story, hacking, historical fiction, twins, double cross, creator, frat party, social network, deposition, intellectual property, entrepreneur, arrogance, social media, meditative, young entrepreneur, facebook, legal drama, critical, tense, antagonistic, callous, wry",Columbia Pictures,13.4455,False
Despicable Me,2010,2010-07-08,"['Animation', 'Family', 'Comedy']",95,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.","Pierre Coffin, Chris Renaud","Ken Daurio, Cinco Paul","Steve Carell, Jason Segel, Miranda Cosgrove",69000000,543284256,"moon, parent child relationship, orphanage, villain, adoptive father, life's dream, rivalry, ballet, stealing, little girl, orphan, tomboy, intelligent, evil doctor, duringcreditsstinger, supervillain, illumination, joyful",Illumination,13.6798,False
Black Swan,2010,2010-12-03,"['Drama', 'Thriller', 'Horror']",109,"The story of Nina, a ballerina in a New York City ballet company whose life, like all those in her profession, is completely consumed with dance. She lives with her retired ballerina mother Erica who zealously supports her daughter's professional ambition. When artistic director Thomas Leroy decides to replace prima ballerina Beth MacIntyre for the opening production of their new season, Swan Lake, Nina is his first choice.",Darren Aronofsky,"John J. McLaughlin, Mark Heyman, Andres Heinz","Natalie Portman, Mila Kunis, Vincent Cassel",13000000,329398046,"new york city, dancing, dancer, nightmare, competition, obsession, insanity, paranoia, hallucination, ballet dancer, ballet, female protagonist, psychological thriller, fear, heartbreak, mental illness, madness, macabre, reality vs fantasy, swan lake, ballerina, stage performance, mysterious, aggressive, self-harm, complex, mother daughter relationship, self destructiveness, theater, provocative, suspenseful, intense, pointe shoes, antagonistic, distressing, exhilarated, frightened",Fox Searchlight Pictures,13.2955,False
Percy Jackson & the Olympians: The Lightning Thief,2010,2010-02-01,"['Adventure', 'Fantasy', 'Family']",118,"Accident prone teenager, Percy discovers he's actually a demi-God, the son of Poseidon, and he is needed when Zeus' lightning is stolen. Percy must master his new found skills in order to prevent a war between the Gods that could devastate the entire world.",Chris Columbus,Craig Titley,"Logan Lerman, Brandon T. Jackson, Alexandra Daddario",95000000,226497209,"monster, based on novel or book, greek mythology, dyslexia, god, poseidon, lightning bolt, fantasy world, demigod, based on young adult novel",1492 Pictures,11.2878,False
Alice in Wonderland,2010,2010-03-03,"['Family', 'Fantasy', 'Adventure']",108,"Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",Tim Burton,Linda Woolverton,"Mia Wasikowska, Johnny Depp, Anne Hathaway",200000000,1025467110,"based on novel or book, queen, psychotic, fantasy world, taunting, live action remake, based on young adult novel, mischievous, absurd, dramatic, incredulous, amused, euphoric",Walt Disney Pictures,11.8921,False
Toy Story 3,2010,2010-06-16,"['Animation', 'Family', 'Comedy']",103,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",Lee Unkrich,Michael Arndt,"Tom Hanks, Tim Allen, Joan Cusack",200000000,1067316101,"escape, hostage, college, villain, sequel, buddy, daycare, teddy bear, duringcreditsstinger, toy comes to life, personification, inanimate objects come to life",Pixar,11.1808,False
The Twilight Saga: Eclipse,2010,2010-06-23,"['Adventure', 'Fantasy', 'Drama', 'Romance']",124,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",David Slade,Melissa Rosenberg,"Kristen Stewart, Robert Pattinson, Taylor Lautner",68000000,698491347,"based on novel or book, immortality, vampire, bite, graduation, teen movie, werewolf, based on young adult novel, supernatural power, vampire human love",Summit Entertainment,14.2487,False
The Town,2010,2010-09-15,"['Crime', 'Drama', 'Thriller']",125,"Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her – but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case.",Ben Affleck,"Aaron Stockard, Ben Affleck, Peter Craig","Ben Affleck, Jeremy Renner, Rebecca Hall",37000000,154026136,"drug dealer, based on novel or book, ambulance, boston, massachusetts, money laundering, irish-american, bank manager, massachusetts, florist, flower shop, stolen money, hold-up robbery, volunteer, heist, friends, boston garden, shootout, police chase, best friend, bank robbery, car fire, fenway park, criminal gang, desperate, fbi agent, violence",Legendary Pictures,10.7642,False
Megamind,2010,2010-10-28,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']",96,"After Megamind, a highly intelligent alien supervillain, defeats his long-time nemesis Metro Man, Megamind creates a new hero to fight, but must act to save the city when his ""creation"" becomes an even worse villain than he was.",Tom McGrath,"Brent Simons, Alan Schoolcraft","Will Ferrell, Tina Fey, Jonah Hill",130000000,321885765,"prison, fish, saving the world, date, gun, secret identity, superhero, anti hero, dna, mayor, museum, rain, villain, one-sided love, anthropomorphism, reporter, super villain, duringcreditsstinger, alien baby, stronger villain, invincible",DreamWorks Animation,10.7326,False
From Paris with Love,2010,2010-02-04,"['Action', 'Crime', 'Thriller']",92,"James Reese has a good job as an ambassador's aid in France, but his real passion is a side gig—working in a minor role in the CIA. He would love to be a full-fledged agent and can't believe his luck when he lands an assignment with Charlie Wax. Trigger-happy Charlie soon has James crying for his desk job, but when he learns that the same guys they're trying to catch are after him, James realises that Charlie may be his only hope of survival.",Pierre Morel,Adi Hasak,"John Travolta, Jonathan Rhys Meyers, Kasia Smutniak",52000000,52800000,"central intelligence agency (cia), ambassador, paris, france, undercover, explosive, anti hero, pimp, firearm, revelation, politician, deception, car crash, gang",M6,9.5586,False
The Expendables,2010,2010-08-07,"['Thriller', 'Adventure', 'Action']",103,"Barney Ross leads a band of highly skilled mercenaries including knife enthusiast Lee Christmas, a martial arts expert Yin Yang, heavy weapons specialist Hale Caesar, demolitionist Toll Road, and a loose-cannon sniper Gunner Jensen. When the group is commissioned by the mysterious Mr. Church to assassinate the dictator of a small South American island, Barney and Lee visit the remote locale to scout out their opposition and discover the true nature of the conflict engulfing the city.",Sylvester Stallone,"David Callaham, Sylvester Stallone","Sylvester Stallone, Jason Statham, Jet Li",80000000,274470394,"rescue, sniper, island, martial arts, tattoo, escape, mercenary, bridge, church, drugs, blade, duringcreditsstinger",Nimar Studios,9.1209,False
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,2010-12-02,"['Adventure', 'Family', 'Fantasy']",113,"This time around Edmund and Lucy Pevensie, along with their pesky cousin Eustace Scrubb find themselves swallowed into a painting and on to a fantastic Narnian ship headed for the very edges of the world.",Michael Apted,"Stephen McFeely, Michael Petroni, Christopher Markus","Georgie Henley, Skandar Keynes, Ben Barnes",155000000,415686217,"epic, based on novel or book, magic, lion, anthropomorphism, dragon, king, fantasy world, snowing, sea voyage, quest, high fantasy, isekai, father son relationship, brother sister relationship, turned into animal, based on young adult novel, good versus evil",Fox 2000 Pictures,8.2878,False
She's Out of My League,2010,2010-03-11,"['Romance', 'Comedy']",104,"When he starts dating drop-dead gorgeous Molly, insecure airport security agent Kirk can't believe it. As his friends and family share their doubts about the relationship lasting, Kirk does everything he can to avoid losing Molly forever.",Jim Field Smith,"John Morris, Sean Anders","Jay Baruchel, Alice Eve, T.J. Miller",20000000,49800000,"airport, ex-boyfriend, ex-girlfriend, sarcasm, birthday party, dating, falling in love, insecurity, airport security, rating, group of friends, opposites attract, unlikely lovers, low self esteem, duringcreditsstinger, eccentric family, pittsburgh, pennsylvania, air show, party planner, hot girl, nice guy, pittsburgh penguins, gorgeous blonde, ex-girlfriend comes back, romantic, meeting the parents",Paramount Pictures,9.8769,False
Flipped,2010,2010-08-06,"['Romance', 'Drama']",89,"When Juli meets Bryce in the second grade, she knows it's true love. After spending six years trying to convince Bryce the same, she's ready to give up - until he starts to reconsider.",Rob Reiner,"Rob Reiner, Andrew Scheinman","Madeline Carroll, Callan McAuliffe, Rebecca De Mornay",14000000,4324817,"based on novel or book, shyness, family relationships, unrequited love, neighbor, teenage boy, first crush, young love, opposites attract, multiple perspectives, 1950s, 1960s, based on young adult novel",Reiner / Greisman Productions,10.135,False
Clash of the Titans,2010,2010-03-26,"['Adventure', 'Fantasy', 'Action']",106,"Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.",Louis Leterrier,"Travis Beacham, Phil Hay, Matt Manfredi","Sam Worthington, Gemma Arterton, Mads Mikkelsen",125000000,493214993,"hades, mythology, greek mythology, zeus, god, mythological beast, medusa, sea monster, perseus, kraken, ancient greece, based on myths, legends or folklore",The Zanuck Company,7.3985,False
Salt,2010,2010-07-21,"['Action', 'Mystery', 'Thriller']",100,"As a CIA officer, Evelyn Salt swore an oath to duty, honor and country. Her loyalty will be tested when a Russian defector accuses her of being a Russian sleeper spy. She goes on the run, using all her skills and years of experience as a covert operative to elude capture, protect her husband, and stay one step ahead of her colleagues at the CIA. Her efforts to prove her innocence only serve to cast doubt on her motives, as the hunt to uncover the truth behind her identity continues and the question remains: ""Who is Salt?""",Phillip Noyce,Kurt Wimmer,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor",110000000,293329073,"new york city, race against time, central intelligence agency (cia), washington dc, usa, funeral, kidnapping, hostage, spy, revenge, on the run, shootout, mole, secret service, married woman, secret past, assassination of president, russian spy, sleeper agent, spy thriller, north korea, assassination plot, intense, cia agent, russian defector",Wintergreen Productions,7.1139,False
The Secret World of Arrietty,2010,2010-07-16,"['Fantasy', 'Animation', 'Family']",94,"14-year-old Arrietty and the rest of the Clock family live in peaceful anonymity as they make their own home from items ""borrowed"" from the house's human inhabitants. However, life changes for the Clocks when a human boy discovers Arrietty.",Hiromasa Yonebayashi,"Hayao Miyazaki, Keiko Niwa","Mirai Shida, Ryunosuke Kamiki, Tomokazu Miura",23000000,149660003,"based on novel or book, cat, forest, based on children's book, little people, dollhouse, nostalgic, anime",Studio Ghibli,8.186,False
Undisputed III: Redemption,2010,2010-04-17,"['Action', 'Thriller', 'Crime', 'Drama']",96,"Russian inmate Boyka, now severely hobbled by the knee injury suffered at the end of Undisputed 2. No longer the feared prison fighter he was, he has declined so far that he is now good only for cleaning toilets. But when a new prison fight tournament begins - an international affair, matching the best fighters from prisons around the globe, enticing them with the promise of freedom for the winner - Boyka must reclaim his dignity and fight for his position in the tournament.",Isaac Florentine,David N. White,"Scott Adkins, Mykel Shannon Jenkins, Mark Ivanir",3000000,282548,"prison, showdown, fight, shotgun, prison cell, fighter, champion, sequel, beating, jail, tournament, brutality, jail cell, prison fight, carrot",Undisputed 3 Productions,7.0895,False
The Book of Eli,2010,2010-01-14,"['Action', 'Thriller', 'Science Fiction']",118,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.","Allen Hughes, Albert Hughes",Gary Whitta,"Denzel Washington, Gary Oldman, Mila Kunis",80000000,157107755,"faith, chaos, dystopia, post-apocalyptic future, bible, survival, gunfight, blind, brutality, cannibal, combat, 2040s, carnage",Alcon Entertainment,7.052,False
The Other Guys,2010,2010-08-06,"['Action', 'Comedy', 'Crime', 'Thriller']",116,"Unlike their heroic counterparts on the force, desk-bound NYPD detectives Gamble and Hoitz garner no headlines as they work day to day. When a seemingly minor case turns out to be a big deal, the two cops get the opportunity to finally prove to their comrades that they have the right stuff.",Adam McKay,"Adam McKay, Chris Henchy","Will Ferrell, Mark Wahlberg, Eva Mendes",100000000,170432927,"new york city, narration, sarcasm, nypd, buddy cop, ceo, buddy comedy, carjacking, jumping off a building, aftercreditsstinger, detectives, detective comedy, explosions, partners, forensic accountant",Columbia Pictures,7.0295,False
I Spit on Your Grave,2010,2010-06-17,"['Thriller', 'Crime', 'Horror']",103,"A beautiful woman from the city, Jennifer Hills, rents an isolated cabin in the country to write her latest novel. Soon, a group of local lowlifes subject her to a nightmare of degradation, rape, and violence.",Steven R. Monroe,Adam Rockoff,"Sarah Butler, Jeff Branson, Tracey Walter",2000000,572809,"rape, fondling, remake, revenge, writer, garden shears, rape and revenge, emasculation",Anchor Bay Films,6.954,False
Love & Other Drugs,2010,2010-11-04,"['Drama', 'Comedy', 'Romance']",112,"Maggie is an alluring free spirit who won't let anyone – or anything – tie her down. But she meets her match in Jamie, whose relentless and nearly infallible charm serves him well with the ladies and the cutthroat world of pharmaceutical sales. Maggie and Jamie's evolving relationship takes them both by surprise, as they find themselves under the influence of the ultimate drug: love.",Edward Zwick,"Charles Randolph, Edward Zwick, Marshall Herskovitz","Jake Gyllenhaal, Anne Hathaway, Oliver Platt",30000000,102800000,"letter, sexual freedom, love, viagra, free spirit",Fox 2000 Pictures,7.3712,False
Predators,2010,2010-07-03,"['Science Fiction', 'Action', 'Thriller']",107,A group of cold-blooded killers find themselves trapped on an alien planet to be hunted by extraterrestrial Predators.,Nimród Antal,"Alex Litvak, Michael Finch","Adrien Brody, Topher Grace, Alice Braga",40000000,127200000,"hunter, predator, yakuza, hunting human beings, alien life-form, sequel, alien, alien planet, jungle, creature, soldier, warrior",Davis Entertainment,8.0734,False
RED,2010,2010-10-13,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",111,"After surviving an assault from a squad of hit men, retired CIA black ops agent Frank Moses reassembles his old team for an all-out war. Frank reunites with old Joe, crazy Marvin and wily Victoria to uncover a massive conspiracy that threatens their lives. Only their expert training will allow them to survive a near-impossible mission -- breaking into CIA headquarters.",Robert Schwentke,"Jon Hoeber, Erich Hoeber","Bruce Willis, John Malkovich, Morgan Freeman",58000000,199006387,"assassin, central intelligence agency (cia), undercover agent, kidnapping, assault rifle, based on comic, shootout, sniper rifle, explosion, retired, female spy, government agent, undercover operation, black ops, first date, aggressive, vibrant",di Bonaventura Pictures,6.6943,False
Eat Pray Love,2010,2010-08-12,"['Drama', 'Romance']",133,"Liz Gilbert had everything a modern woman is supposed to dream of having – a husband, a house and a successful career – yet like so many others, she found herself lost, confused and searching for what she really wanted in life. Newly divorced and at a crossroads, Gilbert steps out of her comfort zone, risking everything to change her life, embarking on a journey around the world that becomes a quest for self-discovery. In her travels, she discovers the true pleasure of nourishment by eating in Italy, the power of prayer in India and, finally and unexpectedly, the inner peace and balance of true love in Bali.",Ryan Murphy,"Jennifer Salt, Ryan Murphy","Julia Roberts, Javier Bardem, James Franco",60000000,204594016,"change, italy, indonesia, love, travel, female protagonist, india, divorce, around the world, bali, italian cuisine",Red Om Films,6.3474,False
Incendies,2010,2010-09-17,"['Drama', 'War', 'Mystery']",131,"A mother's last wishes send twins Jeanne and Simon on a journey to Middle East in search of their tangled roots. Adapted from Wajdi Mouawad's acclaimed play, Incendies tells the powerful and moving tale of two young adults' voyage to the core of deep-rooted hatred, never-ending wars and enduring love.",Denis Villeneuve,"Valérie Beaugrand-Champagne, Denis Villeneuve","Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette",6800000,6788659,"prison, rape, middle east, muslim, militia, orphanage, son, interpreter, swimming pool, massacre, checkpoint, political assassination, twins, will, amused",TS Productions,6.599,False
Kick-Ass,2010,2010-03-26,"['Action', 'Crime']",117,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",Matthew Vaughn,"Jane Goldman, Matthew Vaughn","Aaron Taylor-Johnson, Chloë Grace Moretz, Nicolas Cage",28000000,96188903,"hero, secret identity, crime fighter, superhero, dark comedy, comic book, based on comic, murder, mafia, family, realism, mist, adventurer, rookie, young heroes, young adult, criminal heroes, heroes, pretending to be gay",Marv,6.9045,False
Scott Pilgrim vs. the World,2010,2010-08-12,"['Action', 'Comedy', 'Romance']",113,"As bass guitarist for a garage-rock band, Scott Pilgrim has never had trouble getting a girlfriend; usually, the problem is getting rid of them. But when Ramona Flowers skates into his heart, he finds she has the most troublesome baggage of all: an army of ex-boyfriends who will stop at nothing to eliminate him from her list of suitors.",Edgar Wright,"Michael Bacall, Edgar Wright","Michael Cera, Mary Elizabeth Winstead, Ellen Wong",85000000,51691156,"video game, skateboarding, ex-boyfriend, ex-girlfriend, toronto, canada, animated scene, dating, guitar player, break-up, based on graphic novel, group of friends, whipping, hipster, underage girlfriend, unconsciousness, girl fight, vegan, aftercreditsstinger, garage band, band competition",Marc Platt Productions,6.8225,False
Blue Valentine,2010,2010-12-26,"['Drama', 'Romance']",112,"Dean and Cindy live a quiet life in a modest neighborhood. They appear to have the world at their feet at the outset of the relationship. However, his lack of ambition and her retreat into self-absorption cause potentially irreversible cracks in their marriage.",Derek Cianfrance,"Cami Delavigne, Joey Curtis, Derek Cianfrance","Ryan Gosling, Michelle Williams, John Doman",1000000,15440333,"depression, dancing, nurse, pennsylvania, usa, love at first sight, pregnancy, classroom, marriage, bridge, dysfunctional family, alcoholism, love, divorce, cynical, nonlinear timeline, abortion, student, broken marriage, romantic, tragic",Cottage Industries,5.9026,False
Prince of Persia: The Sands of Time,2010,2010-05-19,"['Adventure', 'Fantasy', 'Action']",116,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",Mike Newell,"Doug Miro, Boaz Yakin, Carlo Bernard","Jake Gyllenhaal, Gemma Arterton, Ben Kingsley",200000000,336365676,"persia, sandstorm, brother against brother, armageddon, based on video game",Walt Disney Pictures,5.8403,False
Vampires Suck,2010,2010-08-18,"['Comedy', 'Fantasy']",84,"Becca, an anxious, non-vampire teen is torn between two boys. Before she can choose, Becca must get around her controlling father, who treats her like a child. Meanwhile, Becca's friends contend with their own romantic issues – all of which collide at the prom.","Aaron Seltzer, Jason Friedberg","Aaron Seltzer, Jason Friedberg","Jenn Proske, Matt Lanter, Chris Riggi",20000000,80547866,"high school, vampire, parody, spoof, prom, horror spoof, duringcreditsstinger",Road Rebel,5.8528,False
Knight and Day,2010,2010-06-15,"['Action', 'Comedy']",109,"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.",James Mangold,Patrick O'Neill,"Tom Cruise, Cameron Diaz, Peter Sarsgaard",117000000,261989769,"central intelligence agency (cia), airport, inventor, kidnapping, boston, massachusetts, spy, traitor, invention, protection, betrayal, on the run, fish out of water, train, attraction, boy genius, drugged, tropical island, crash landing, airplane trip, duringcreditsstinger, motorcycle chase, seville, spain, unassuming, action comedy, lighthearted, sister's wedding, rogue spy, salzburg, austria",Pink Machine,6.5006,False
Legion,2010,2010-01-21,"['Horror', 'Action', 'Fantasy']",100,"When God loses faith in humankind, he sends his legion of angels to bring on the Apocalypse. Humanity's only hope for survival lies in a group of strangers trapped in an out-of-the-way, desert diner with the Archangel Michael.",Scott Stewart,"Peter Schink, Scott Stewart","Paul Bettany, Dennis Quaid, Lucas Black",26000000,67900000,"angel, diner, religion, apocalypse, demon, desert, hopeful, horrified",Screen Gems,5.6663,False
The Sorcerer's Apprentice,2010,2010-07-13,"['Fantasy', 'Adventure', 'Action']",109,"Balthazar Blake is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis, Maxim Horvath. Balthazar can't do it alone, so he recruits Dave Stutler, a seemingly average guy who demonstrates hidden potential, as his reluctant protégé. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic, and together, these unlikely partners work to stop the forces of darkness.",Jon Turteltaub,"Doug Miro, Carlo Bernard, Matt Lopez, Mark Rosenthal, Lawrence Konner","Nicolas Cage, Jay Baruchel, Alfred Molina",150000000,215300000,"witch, mission, magic, mystic, castle, sorcerer's apprentice, sorcery, sorcerer, falling in love, based on movie, reflection, magic trick, wizard, aftercreditsstinger, magical creature, statue, college student, electric power, magician, magic book, live action remake, good versus evil, electricity, salem witch, magic ring, callback, raising the dead",Walt Disney Pictures,5.6652,False
Faster,2010,2010-11-23,"['Crime', 'Drama', 'Action', 'Thriller']",98,"After 10 years in prison, Driver is now a free man with a single focus - hunting down the people responsible for brutally murdering his brother.",George Tillman Jr.,"Tony Gayton, Joe Gayton, Joe Gayton, Tony Gayton","Dwayne Johnson, Billy Bob Thornton, Oliver Jackson-Cohen",24000000,23081726,"prisoner, police, hitman, cop, revenge, driver",Castle Rock Entertainment,5.5549,False
The King's Speech,2010,2010-11-26,"['Drama', 'History']",118,"The King's Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country into war.",Tom Hooper,David Seidler,"Colin Firth, Geoffrey Rush, Helena Bonham Carter",15000000,414211549,"great britain, marriage, stutter, monarchy, palace, radio, radio transmission, royal family, based on true story, death of father, speech, royalty, historical fiction, 1930s, british royal family, british monarchy, winston churchill, speech therapy, corgi",The Weinstein Company,5.4809,False
